"week","zcta","caserate","count"
2019-01-06,"10001",0,13941
2019-01-06,"10002",0,14555
2019-01-06,"10003",0,24328
2019-01-06,"10004",0,1828
2019-01-06,"10005",0,2141
2019-01-06,"10007",0,742
2019-01-06,"10009",0,12165
2019-01-06,"10010",0,9989
2019-01-06,"10011",0,15821
2019-01-06,"10012",0,7224
2019-01-06,"10013",0,8122
2019-01-06,"10014",0,13985
2019-01-06,"10016",0,14427
2019-01-06,"10017",0,7012
2019-01-06,"10018",0,8719
2019-01-06,"10019",0,17995
2019-01-06,"10021",0,4944
2019-01-06,"10022",0,8218
2019-01-06,"10023",0,7462
2019-01-06,"10024",0,6157
2019-01-06,"10025",0,5002
2019-01-06,"10026",0,1688
2019-01-06,"10027",0,2311
2019-01-06,"10028",0,3179
2019-01-06,"10029",0,4027
2019-01-06,"10035",0,3132
2019-01-06,"10036",0,6094
2019-01-06,"10037",0,3279
2019-01-06,"10038",0,4533
2019-01-06,"10040",0,812
2019-01-06,"10044",0,50
2019-01-06,"10065",0,1543
2019-01-06,"10069",0,677
2019-01-06,"10075",0,2043
2019-01-06,"10115",0,179
2019-01-06,"10119",0,1422
2019-01-06,"10128",0,4078
2019-01-06,"10153",0,1380
2019-01-06,"10162",0,125
2019-01-06,"10199",0,915
2019-01-06,"10278",0,335
2019-01-06,"10279",0,1290
2019-01-06,"10280",0,3627
2019-01-06,"10282",0,2119
2019-01-06,"10453",0,0
2019-01-06,"10457",0,0
2019-01-06,"10458",0,0
2019-01-06,"10460",0,0
2019-01-06,"11101",0,3225
2019-01-06,"11102",0,891
2019-01-06,"11103",0,453
2019-01-06,"11105",0,679
2019-01-06,"11106",0,1483
2019-01-06,"11109",0,652
2019-01-06,"11201",0,10831
2019-01-06,"11203",0,97
2019-01-06,"11205",0,3926
2019-01-06,"11206",0,1705
2019-01-06,"11208",0,941
2019-01-06,"11211",0,10936
2019-01-06,"11213",0,557
2019-01-06,"11215",0,6504
2019-01-06,"11216",0,1743
2019-01-06,"11217",0,5654
2019-01-06,"11221",0,1133
2019-01-06,"11222",0,4221
2019-01-06,"11225",0,656
2019-01-06,"11231",0,4398
2019-01-06,"11232",0,164
2019-01-06,"11233",0,387
2019-01-06,"11235",0,131
2019-01-06,"11237",0,176
2019-01-06,"11238",0,4405
2019-01-06,"11369",0,63
2019-01-06,"10468",0,0
2019-01-06,"11385",0,0
2019-01-06,"11207",0,0
2019-01-06,"10006",0,0
2019-01-06,"10170",0,0
2019-01-06,"10032",0,0
2019-01-06,"10030",0,0
2019-01-06,"10031",0,0
