"week","case_count","case_rate","tripduration","totaltrip","Customer","Subscriber","morning","noon","afternoon","evening","midnight"
2019-05-05,0,0,13.854,247836,12.6,87.4,20.43,50630,34.65,16.09,2.27
2019-05-12,0,0,14.315,439523,13.1,86.9,20.44,89830,34.51,16.38,2.4
2019-05-19,0,0,14.442,373013,13.37,86.63,20.3,75704,31.59,18.76,2.82
2019-05-26,0,0,15.38,496201,17.44,82.56,22.94,113826,33.24,18.72,2.49
2019-06-02,0,0,15.642,366574,18.67,81.33,23.62,86572,31.13,16.03,2.66
2019-06-02,0,0,17.585,76339,28.65,71.35,32.43,24756,30.09,17.88,4.43
2019-06-09,0,0,15.385,549077,17,83,21.54,118258,32.82,18.74,2.72
2019-06-16,0,0,15.28,477439,16.91,83.09,20.82,99406,33.8,19.99,2.97
2019-06-23,0,0,14.627,430045,15.74,84.26,22.18,95366,30.68,20.83,3.26
2019-06-30,0,0,15.148,527320,17.09,82.91,21.14,111489,31.87,21.29,3.3
2019-07-07,0,0,18.01,63490,28.32,71.68,29.18,18524,29.9,21.6,5.44
2019-07-07,0,0,15.628,392555,21.07,78.93,22.22,87241,31.57,20.7,3.28
2019-07-14,0,0,15.072,509497,17.21,82.79,20.54,104651,31.5,20.87,3.08
2019-07-21,0,0,14.492,489080,16.01,83.99,19.68,96271,32.49,19.91,3.4
2019-07-28,0,0,14.661,495771,16.53,83.47,20.63,102261,31.3,20.3,3.21
2019-08-04,0,0,14.346,292609,15.82,84.18,19.54,57182,28.81,22.25,3.27
2019-08-04,0,0,15.299,247063,19.27,80.73,22,54348,31.3,20.11,3.39
2019-08-11,0,0,15.295,526305,19.19,80.81,21.79,114661,30.79,18.79,3.05
2019-08-18,0,0,15.237,549559,19.28,80.72,21.13,116123,31.53,20.04,3.12
2019-08-25,0,0,14.728,497049,17.79,82.21,21.48,106789,32.15,19.66,3.17
2019-09-01,0,0,15.065,522768,19.1,80.9,21.53,112537,32.51,18.65,3.13
2019-09-08,0,0,14.917,491797,18.27,81.73,21.34,104950,30.95,19.11,3.12
2019-09-15,0,0,14.42,568289,15.74,84.26,21.14,120154,33.17,17.1,3.03
2019-09-22,0,0,15.013,623097,19.02,80.98,21.44,133605,33.68,17.89,2.71
2019-09-29,0,0,14.823,608055,16.95,83.05,21.21,128957,32.46,17.99,2.88
2019-10-06,0,0,15.295,152200,21.4,78.6,25.34,38562,33.72,16.75,3.51
2019-10-06,0,0,13.688,358187,14.21,85.79,21.1,75575,32.36,16.96,2.54
2019-10-13,0,0,13.727,503519,14.63,85.37,20.25,101970,34.39,16.42,2.84
2019-10-20,0,0,14.211,480149,16.62,83.38,23.47,112690,31.36,15.49,2.94
2019-10-27,0,0,13.85,474650,13.73,86.27,21.66,102831,31.45,15.39,2.94
2019-11-03,0,0,12.773,274844,9.27,90.73,15.7,43157,33.67,19.82,3.05
2019-11-03,0,0,14.322,129121,17.35,82.65,26.82,34627,33.04,14.79,2.72
2019-11-10,0,0,12.746,413726,10.97,89.03,22.45,92862,30.04,14.91,2.48
2019-11-17,0,0,12.247,341067,9.37,90.63,22.42,76464,31.6,16.33,2.8
2019-11-24,0,0,12.009,336469,7.7,92.3,20.57,69222,30.57,15.56,2.66
2019-12-01,0,0,12.536,257629,10.25,89.75,23.93,61656,30.56,16.25,2.8
2019-12-08,0,0,11.499,250411,5.73,94.27,19.79,49559,29.69,16.34,2.89
2019-12-15,0,0,11.442,236586,6.41,93.59,24.07,56939,27.49,15.99,2.83
2019-12-22,0,0,11.064,220588,5.71,94.29,22.93,50586,30.58,15.48,3.12
2019-12-29,0,0,13.123,185458,14.32,85.68,31.26,57975,30.68,14.47,3.24
2020-01-05,0,0,12.567,61555,14,86,34.59,21292,27.03,12.73,3.9
2020-01-05,0,0,12.343,120902,11,89,25.72,31099,36.1,15.24,3.59
2020-01-12,0,0,12.196,305781,8.28,91.72,22.22,67946,32.26,15.71,2.43
2020-01-19,0,0,12.298,293472,8.38,91.62,22.08,64798,30.39,15.27,2.76
2020-01-26,0,0,11.329,248202,6.01,93.99,20.25,50250,31.85,17.28,2.65
2020-02-02,0,0,11.445,271642,6.01,93.99,19.7,53510,31.84,16.12,2.4
2020-02-02,0,0,12.241,35518,11.62,88.38,34.24,12163,29.01,14.28,4.04
2020-02-09,0,0,11.514,282576,6.99,93.01,21.93,61958,32.04,16.68,2.36
2020-02-16,0,0,11.271,242313,6.23,93.77,19.62,47535,32.35,17.05,2.67
2020-02-23,0,0,11.995,282283,9.39,90.61,22.82,64410,32.4,16.75,2.55
2020-03-01,0,0,12.202,303462,8.6,91.4,21.43,65044,30.94,15.75,2.59
2020-03-08,0,0,12.803,329292,8.99,91.01,21.35,70300,30.08,15.27,2.43
2020-03-15,0,0,15.572,380393,14.78,85.22,21.86,83161,37.48,15.99,2.2
2020-03-22,0,0,18.385,204054,19.22,80.78,28.16,57461,40.54,14.29,1.9
2020-03-29,0,0,19.626,114017,19.68,80.32,26.13,29788,41.75,14.06,2.09
2020-04-05,0,0,17.776,39629,15.79,84.21,26.83,10632,38.07,14.62,1.96
2020-04-05,0,0,20.645,79410,22,78,27.02,21456,43.16,14.57,1.74
2020-04-12,0,0,21.031,158147,23.91,76.09,28.09,44417,42.44,14.21,1.54
2020-04-19,0,0,20.043,140974,22.83,77.17,26.76,37719,41.26,16.06,1.85
2020-04-26,0,0,22.73,200119,28.42,71.58,31.45,62938,40.91,13.16,1.44
2020-05-03,0,0,19.102,103066,20.59,79.41,25.92,26716,39.12,15.68,2.17
2020-05-03,0,0,25.52,97605,35.76,64.24,32.29,31514,41.23,16.04,1.05
2020-05-10,0,0,21.849,236838,28.52,71.48,28.83,68271,38.28,15.26,1.85
2020-05-17,0,0,23.251,328076,31.56,68.44,27.63,90649,40.8,17.53,1.54
2020-05-24,0,0,21.864,307804,28.72,71.28,26.44,81375,39.4,16.48,2.16
2020-05-31,0,0,24.166,434845,34.08,65.92,26.9,116953,39.37,19.49,1.88
2020-06-07,0,0,26.167,80585,39.25,60.75,31.45,25341,38.51,17.38,3.14
2020-06-07,0,0,22.849,256519,27.45,72.55,31.24,80141,40.06,6.31,1.1
2020-06-14,0,0,23.521,471333,32.14,67.86,24.67,116260,36.18,21.74,2.12
2020-06-21,0,0,22.759,488030,32.1,67.9,24.75,120773,36.54,21.17,2.44
2020-06-28,0,0,21.42,467779,29.75,70.25,22.27,104183,32.96,24.41,3.43
2020-07-05,0,0,21.105,195553,28.39,71.61,24.74,48382,33.46,20.17,3.61
2020-07-05,0,0,21.12,266648,30.42,69.58,24.76,66016,32.64,21.69,3.52
2020-07-12,0,0,19.44,406745,26.69,73.31,23.41,95212,29.56,22.68,3.87
2020-07-19,0,0,19.895,537313,28.24,71.76,22.62,121535,33.15,23.92,3.25
2020-07-26,0,0,19.047,467017,26.13,73.87,22.38,104507,32.98,22.42,3.51
2020-08-02,0,0,18.56,425172,25.67,74.33,20.29,86267,33.04,25.13,3.26
2020-08-02,0,0,22.187,88935,35.64,64.36,27.16,24152,31.25,22.25,4.88
2020-08-09,2069000,20.69,19.246,492377,27.75,72.25,22.24,109517,35.36,22.42,3.41
2020-08-16,2191000,21.91,19.273,531528,28.62,71.38,22.61,120153,33.02,23.33,3.51
2020-08-23,2084000,20.84,19.038,514863,28.03,71.97,22.14,113987,35.21,23.17,3.37
2020-08-30,2150000,21.5,18.577,531300,26.5,73.5,23.39,124288,34.34,20.76,3.38
2020-09-06,2171000,21.71,20.292,167972,29.85,70.15,26.99,45342,35.16,19.16,3.65
2020-09-06,2171000,21.71,18.606,392433,26.8,73.2,23.78,93316,36.34,19.68,2.85
2020-09-13,2550000,25.5,19.379,578969,29.39,70.61,26,150525,35.7,18.68,3.05
2020-09-20,3164000,31.64,17.908,600906,25.94,74.06,24.43,146805,35.69,18.02,2.76
2020-09-27,4084000,40.84,18.041,602565,26.52,73.48,24.14,145489,35.97,18.45,2.85
2020-10-04,4880000,48.8,17.299,310786,25.01,74.99,24.74,76877,36.14,16.55,2.81
2020-10-04,4880000,48.8,17.966,266032,27.22,72.78,25.1,66763,36.02,18.35,3.11
2020-10-11,4858000,48.58,17.429,588348,25.81,74.19,25.32,148981,35.18,16.72,2.87
2020-10-18,4906000,49.06,16.978,442015,24.29,75.71,24.76,109424,35.56,17.17,3.12
2020-10-25,6006000,60.06,16.902,571474,23.73,76.27,24.85,142008,35.72,16.91,3.16
2020-11-01,6645000,66.45,15.408,378947,20.59,79.41,25.19,95450,36,17.2,3.42
2020-11-08,10414000,104.14,16.409,465426,21.8,78.2,26.74,124477,32.63,15.84,3.1
2020-11-15,15114000,151.14,16.739,456766,23.1,76.9,29.2,133389,31.71,15.3,3.29
2020-11-22,17074000,170.74,15.401,401968,19.36,80.64,29.23,117502,32.07,14.02,2.58
2020-11-29,19737000,197.37,15.982,335270,21.51,78.49,32.61,109342,32.45,14.34,2.86
2020-12-06,28490000,284.9,16.117,75744,21.57,78.43,30.32,22968,34.84,15.65,3.73
2020-12-06,28490000,284.9,13.386,225624,14.97,85.03,26.05,58778,32.43,15.23,2.59
2020-12-13,29912000,299.12,14.087,325501,15.87,84.13,26.98,87816,32.72,15.61,2.8
2020-12-20,30582000,305.82,14.715,189672,16.19,83.81,31.82,60361,30.69,12.25,3.22
2020-12-27,32593000,325.93,14.198,189560,14.04,85.96,31.87,60420,32.5,13.09,2.68
2021-01-03,39985000,399.85,14.33,157646,15.87,84.13,31.91,50312,34.92,14.03,2.66
2021-01-03,39985000,399.85,17.483,59909,21.89,78.11,42.72,25595,31.27,9.11,3.99
2021-01-10,52317000,523.17,13.111,237353,12.6,87.4,27.94,66320,32.56,13.86,2.44
2021-01-17,48003000,480.03,13.616,285606,13.65,86.35,28.23,80621,34.18,13.34,2.25
2021-01-24,45587000,455.87,13.713,275306,14.75,85.25,28.94,79667,33.25,13.83,2.73
2021-01-31,43219000,432.19,12.271,214676,11.34,88.66,26.3,56470,32.7,13.92,2.57
2021-02-07,35084000,350.84,12.078,21701,12.65,87.35,40.55,8800,32.38,6.73,4.44
2021-02-07,35084000,350.84,15.397,80889,14.46,85.54,28.39,22963,37.01,17.32,2.38
2021-02-14,33864000,338.64,12.498,149093,12.39,87.61,24.93,37165,33.91,16.12,2.94
2021-02-21,29967000,299.67,12.883,153023,13.59,86.41,28.36,43401,34,15.18,2.8
2021-02-28,32696000,326.96,13.271,243771,15.22,84.78,23.7,57766,35.73,16.23,2.51
2021-03-07,31559000,315.59,13.065,21259,18.03,81.97,37.52,7976,18.74,11.06,7.07
2021-03-07,31559000,315.59,12.402,226047,14.37,85.63,25.33,57259,34.59,14.88,2.17
2021-03-14,31835000,318.35,15.183,379093,21.16,78.84,26.61,100880,36.34,14.91,2.27
2021-03-21,31223000,312.23,14.181,293894,19.86,80.14,26.37,77499,34.47,16.15,2.56
2021-03-28,34465000,344.65,17.488,439045,26.08,73.92,28.39,124647,36.26,14.89,2.15
2021-04-04,29636000,296.36,15.097,188374,21.38,78.62,24.05,45307,36.63,15.07,3.37
2021-04-04,29636000,296.36,15.107,149197,23.28,76.72,27.91,41647,37,17.18,2.38
2021-04-11,26594000,265.94,16.452,521453,25.24,74.76,25.34,132122,36.76,17.73,2.39
2021-04-18,21128000,211.28,14.884,381514,21.83,78.17,24.52,93564,31.29,17.31,3.1
2021-04-25,14891000,148.91,16.409,554034,25.67,74.33,26.52,146932,33.97,17.53,2.78
2021-05-02,10914000,109.14,14.991,456012,23.51,76.49,22.49,102542,36.26,18.92,2.92
2021-05-02,10914000,109.14,18.803,92572,34.83,65.17,31.82,29458,33.62,18.17,3.1
2021-05-09,7655000,76.55,15.397,534057,26.24,73.76,22.7,121230,35,18.64,3.52
2021-05-16,5419000,54.19,16.267,633750,29.06,70.94,25.66,162639,32.73,19.24,3.38
2021-05-23,3840000,38.4,17.052,743611,31.42,68.58,23.58,175378,33.42,20.7,3.87
2021-05-30,2584000,25.84,15.985,605424,29.31,70.69,24.76,149893,32.23,18.31,3.95
2021-06-06,2008000,20.08,18.017,106680,35.82,64.18,28.05,29923,33.42,22.93,4.39
2021-06-06,2008000,20.08,16.004,482591,29.65,70.35,23.24,112174,31.93,21.17,4.07
2021-06-13,1784000,17.84,16.291,734995,32.2,67.8,23.17,170325,29.75,21.98,5.09
2021-06-20,1666000,16.66,16.49,777308,33.36,66.64,23.45,182307,32.22,22.05,4.67
2021-06-27,1688000,16.88,16.386,762900,33.45,66.55,21.7,165581,29.88,23.9,5.3
2021-07-04,2049000,20.49,15.577,408095,32.52,67.48,20.71,84513,30.57,23.78,5.81
2021-07-04,2049000,20.49,14.64,214041,31.7,68.3,25.18,53906,31.31,15.78,5.44
2021-07-11,3217000,32.17,16.97,648492,36.76,63.24,25.33,164235,31.18,21.13,5.31
2021-07-18,5202000,52.02,15.581,708424,33.32,66.68,22.15,156919,30.41,22.69,5.55
2021-07-25,8335000,83.35,16.137,777005,34.79,65.21,21.4,166297,31.42,23.77,4.99
2021-08-01,12123000,121.23,16.029,727344,33.78,66.22,22.8,165868,30.73,22.43,5.14
2021-08-08,15006000,150.06,15.982,748217,35,65,22.37,167371,31.67,22.08,5.16
2021-08-15,15721000,157.21,15.387,670856,38.63,61.37,23.15,155314,31.92,19.57,5.36
2021-08-22,16253000,162.53,15.799,726353,41.13,58.87,22.95,166698,32.08,20.85,5.47
2021-08-29,15291000,152.91,15.002,603114,41.26,58.74,21.1,127252,30.48,24.33,5.43
2021-09-05,14136000,141.36,15.621,314604,42.72,57.28,22.41,70498,32.23,21.94,5.39
2021-09-05,14136000,141.36,16.636,399949,46.75,53.25,25.88,103494,31.88,18.48,5.47
2021-09-12,13773000,137.73,16.412,749124,44.91,55.09,23.38,175111,32.23,21.73,5.57
2021-09-19,15159000,151.59,15.639,803116,41.59,58.41,22.54,181021,32.18,20,4.89
2021-09-26,13817000,138.17,15.759,777548,40.98,59.02,23.48,182532,33.23,17.8,4.46
2021-10-03,11686000,116.86,14.935,539256,38.63,61.37,20.51,110604,33.35,19.28,4.13
2021-10-03,11686000,116.86,16.533,235213,31.71,68.29,26.49,62306,31.98,18.56,5.18
2021-10-10,11151000,111.51,15.123,733410,27.05,72.95,23.38,171486,31.77,18.86,4.58
2021-10-17,9465000,94.65,14.924,716267,26.27,73.73,22.19,158957,32.97,18.69,4.92
2021-10-24,7550000,75.5,14.498,705220,24.88,75.12,23.11,162975,32.93,18.09,4.03
2021-10-31,6723000,67.23,13.953,584262,23.57,76.43,24.82,145004,35.8,15.69,3.47
2021-11-07,7878000,78.78,16.733,85352,32.59,67.41,32.03,27340,31.71,16.22,8.83
2021-11-07,7878000,78.78,13.702,514940,21.44,78.56,22.23,114476,32.76,17.79,3.57
2021-11-14,9712000,97.12,14.494,591923,23.75,76.25,23.84,141126,31.07,17.83,4.22
2021-11-21,11988000,119.88,13.665,531228,21.15,78.85,24.31,129168,31.52,16.41,3.58
2021-11-28,12163000,121.63,13.719,350966,23.23,76.77,29.35,103014,30.82,15.03,4.22
2021-12-05,19260000,192.6,11.908,163988,16.64,83.36,21.81,35758,32.8,16.97,3.36
2021-12-05,19260000,192.6,12.827,293423,19.45,80.55,23.9,70121,30.79,18.08,3.59
2021-12-12,26468000,264.68,12.638,468902,19.49,80.51,24.43,114551,32.06,16.04,4.02
2021-12-19,95754000,957.54,12.959,475192,20.23,79.77,25.35,120484,31.68,16.65,3.89
2021-12-26,203436000,2034.36,12.729,266707,19.1,80.9,31.02,82733,32.66,14.53,3.29
2022-01-02,327283000,3272.83,14.383,237536,24.3,75.7,31.66,75209,32.83,16.07,3.1
2022-01-02,327283000,3272.83,15.205,20664,31.1,68.9,24.97,5160,33.99,8.43,23.64
2022-01-09,312882000,3128.82,12.486,235894,16.82,83.18,26.17,61724,34.76,16.56,3.12
2022-01-16,141300000,1413,11.565,247264,13.44,86.56,24.62,60875,32.38,16.05,3.35
2022-01-23,65235000,652.35,11.05,253144,13.42,86.58,25.39,64270,34.47,16.56,2.87
2022-01-30,30786000,307.86,10.962,255025,12.4,87.6,22.86,58310,33.42,15.68,3.11
2022-02-06,16793000,167.93,12.54,32350,10.03,89.97,24.7,7992,33.2,17.48,2.74
