"week","case_count","case_rate","tripduration","totaltrip","Customer","Subscriber","morning","noon","afternoon","evening","midnight"
2019-01-06,0,0,12.554,162675,7.42,92.58,22.29,36253,31.65,16.19,2.85
2019-01-13,0,0,11.437,250182,3.9,96.1,20.82,52091,31.73,15.48,2.48
2019-01-20,0,0,11.159,233957,3.14,96.86,20.65,48316,31.97,15.55,2.55
2019-01-27,0,0,11.073,179667,3.27,96.73,20.95,37632,32.77,18.01,2.37
2019-02-03,0,0,11.084,140236,3.51,96.49,22.5,31550,28.83,13.58,2.6
2019-02-03,0,0,10.663,46947,3.4,96.6,25.01,11741,31.51,15.84,2.3
2019-02-10,0,0,12.13,274905,5.12,94.88,22.15,60878,33.49,14.51,2.16
2019-02-17,0,0,11.965,232961,4.97,95.03,20.99,48903,31.29,15.69,2.67
2019-02-24,0,0,11.941,217712,6.02,93.98,23.36,50858,30.99,15.77,2.53
2019-03-03,0,0,11.122,170631,3.36,96.64,19.16,32701,32.77,16.7,2.04
2019-03-03,0,0,11.492,48202,4.38,95.62,23.43,11293,36.99,19.43,2.48
2019-03-10,0,0,11.531,237130,5.21,94.79,23.32,55306,32.25,15.16,2.26
2019-03-17,0,0,12.491,325507,7.07,92.93,20.43,66490,34.43,16.54,2.4
2019-03-24,0,0,12.229,285550,7.42,92.58,21.98,62754,34.21,16.86,2.34
2019-03-31,0,0,13.55,397734,10.93,89.07,23.06,91737,33.55,16.51,2.28
2019-04-07,0,0,12.725,32707,12.06,87.94,22.66,7413,30.98,18.4,6.86
2019-04-07,0,0,13.207,344250,9.42,90.58,20.76,71480,32.73,16.5,1.94
2019-04-14,0,0,14.269,456703,12.59,87.41,23.55,107543,34.11,15.55,2.15
2019-04-21,0,0,14.246,395379,13.47,86.53,22.53,89075,34.7,16.58,2.37
2019-04-28,0,0,14.893,403128,16.99,83.01,22.08,89024,31.26,17.1,2.38
2019-05-05,0,0,13.058,164544,10.24,89.76,20.54,33791,34.15,18.01,2.37
