"","loc","zip","zcta"
"101","40.767,-73.979","10106","10019"
"102","40.709,-74.007","10279","10279"
"103","40.731,-73.995","10014","10014"
"104","40.683,-73.98","11217","11217"
"105","40.703,-74.013","10004","10004"
"106","40.683,-73.998","11231","11231"
"107","40.799,-73.966","10025","10025"
"108","40.776,-73.964","10075","10075"
"109","40.704,-73.928","11237","11237"
"110","40.781,-73.986","10069","10069"
"111","40.722,-74.006","10005","10005"
"112","40.712,-73.992","10002","10002"
"113","40.758,-73.98","10036","10036"
"114","40.702,-73.924","11237","11237"
"115","40.664,-73.96","11225","11225"
"116","40.659,-73.989","11215","11215"
"117","40.795,-73.936","10029","10029"
"118","40.79,-73.973","10040","10040"
"119","40.744,-73.983","10016","10016"
"120","40.735,-74.005","10014","10014"
"121","40.679,-73.941","11213","11213"
"122","40.75,-73.969","10017","10017"
"123","40.704,-74.007","10005","10005"
"124","40.685,-73.959","11238","11238"
"125","40.803,-73.943","10037","10037"
"126","40.792,-73.952","10029","10029"
"127","40.79,-73.978","10024","10024"
"128","40.674,-73.967","11238","11238"
"129","40.725,-73.978","10009","10009"
"130","40.799,-73.956","10026","10026"
"131","40.708,-74.017","10280","10280"
"132","40.702,-73.944","11222","11222"
"133","40.714,-73.981","10002","10002"
"134","40.684,-73.989","11217","11217"
"135","40.797,-73.964","10025","10025"
"136","40.669,-73.955","11225","11225"
"137","40.729,-73.998","10014","10014"
"138","40.744,-73.98","10016","10016"
"139","40.809,-73.948","10027","10027"
"140","40.737,-74.006","10014","10014"
"141","40.775,-73.983","10023","10023"
"142","40.78,-73.981","10024","10024"
"143","40.775,-73.985","10023","10023"
"144","40.675,-73.971","11215","11215"
"145","40.713,-73.963","11249","11211"
"146","40.782,-73.946","10128","10128"
"147","40.827,-73.918","10451","10451"
"148","40.778,-73.954","10028","10028"
"149","40.715,-74.002","10278","10278"
"150","40.757,-73.978","10017","10017"
"151","40.695,-73.932","11221","11221"
"152","40.805,-73.94","10035","10035"
"153","40.705,-73.93","11237","11237"
"154","40.677,-74.013","11231","11231"
"155","40.729,-73.994","10014","10014"
"156","40.725,-73.982","10009","10009"
"157","40.716,-73.987","10002","10002"
"158","40.732,-74","10014","10014"
"159","40.695,-73.912","11221","11221"
"160","40.703,-74.008","10041","10004"
"161","40.722,-74.002","10013","10013"
"162","40.718,-73.976","10002","10002"
"163","40.688,-73.951","11235","11235"
"164","40.694,-73.992","11201","11201"
"165","40.797,-73.931","10035","10035"
"166","40.802,-73.968","10025","10025"
"167","40.785,-73.973","10024","10024"
"168","40.679,-73.996","11231","11231"
"169","40.716,-73.983","10002","10002"
"170","40.686,-73.988","11217","11217"
"171","40.801,-73.942","10035","10035"
"172","40.703,-73.933","11206","11206"
"173","40.723,-73.995","10012","10012"
"174","40.75,-73.988","10001","10001"
"175","40.744,-73.991","10010","10010"
"176","40.726,-73.99","10003","10003"
"177","40.694,-73.962","11205","11205"
"178","40.781,-73.95","10128","10128"
"179","40.645,-74.022","11220","11220"
"180","40.812,-73.938","10037","10037"
"181","40.738,-73.988","10003","10003"
"182","40.658,-73.99","11215","11215"
"183","40.799,-73.952","10037","10037"
"184","40.69,-73.924","11221","11221"
"185","40.696,-73.974","11205","11205"
"186","40.758,-73.908","11377","11377"
"187","40.724,-74.005","10013","10013"
"188","40.765,-73.962","10021","10021"
"189","40.736,-73.985","10003","10003"
"190","40.816,-73.908","10455","10455"
"191","40.698,-73.974","11205","11205"
"192","40.65,-74.005","11232","11232"
"193","40.842,-73.935","10032","10032"
"194","40.697,-73.938","11206","11206"
"195","40.661,-73.983","11215","11215"
"196","40.746,-73.989","10001","10001"
"197","40.755,-73.934","11101","11101"
"198","40.734,-73.987","10003","10003"
"199","40.737,-73.99","10003","10003"
"200","40.684,-73.95","11216","11216"
"201","40.683,-73.966","11238","11238"
"202","40.778,-73.9","11105","11105"
"203","40.684,-73.969","11238","11238"
"204","40.749,-73.988","10019","10019"
"205","40.681,-73.935","11233","11233"
"206","40.705,-73.95","11206","11206"
"207","40.756,-73.924","11106","11106"
"208","40.752,-73.982","10018","10018"
"209","40.742,-73.997","10011","10011"
"210","40.777,-73.923","11102","11102"
"211","40.75,-74.003","10001","10001"
"212","40.776,-73.91","11105","11105"
"213","40.768,-73.968","10065","10065"
"214","40.695,-73.907","11237","11237"
"215","40.774,-73.931","11102","11102"
"216","40.732,-73.955","11222","11222"
"217","40.719,-74.002","10013","10013"
"218","40.769,-73.955","10021","10021"
"219","40.821,-73.939","10030","10030"
"220","40.765,-73.958","10021","10021"
"221","40.735,-73.991","10003","10003"
"222","40.692,-73.981","11201","11201"
"223","40.666,-73.985","11215","11215"
"224","40.702,-73.928","11237","11237"
"225","40.81,-73.957","10027","10027"
"226","40.785,-73.977","10024","10024"
"227","40.768,-73.966","10065","10065"
"228","40.755,-73.995","10018","10018"
"229","40.772,-73.983","10023","10023"
"230","40.7,-73.99","11201","11201"
"231","40.689,-73.989","11201","11201"
"232","40.769,-73.958","10021","10021"
"233","40.814,-73.953","10027","10027"
"234","40.72,-73.962","11249","11211"
"235","40.8,-73.962","10025","10025"
"236","40.779,-73.974","10024","10024"
"237","40.64,-74.009","11220","11220"
"238","40.759,-73.968","10022","10022"
"239","40.752,-73.968","10017","10017"
"240","40.752,-73.93","11101","11101"
"241","40.788,-73.952","10129","10018"
"242","40.695,-73.903","11385","11385"
"243","40.646,-74.023","11220","11220"
"244","40.801,-73.94","10035","10035"
"245","40.719,-74","10013","10013"
"246","40.685,-73.986","11217","11217"
"247","40.691,-73.992","11217","11217"
"248","40.677,-73.978","11217","11217"
"249","40.777,-73.902","11105","11105"
"250","40.694,-73.925","11221","11221"
"251","40.74,-73.995","10011","10011"
"252","40.685,-73.963","11238","11238"
"253","40.762,-73.988","10019","10019"
"254","40.738,-73.977","10010","10010"
"255","40.728,-73.986","10003","10003"
"256","40.776,-73.957","10028","10028"
"257","40.678,-73.994","11231","11231"
"258","40.793,-73.924","10454","10454"
"259","40.79,-73.95","10029","10029"
"260","40.769,-73.961","10021","10021"
"261","40.653,-74.014","11232","11232"
"262","40.773,-73.978","10023","10023"
"263","40.763,-73.972","10022","10022"
"264","40.757,-73.983","10019","10019"
"265","40.687,-73.977","11217","11217"
"266","40.78,-73.912","11370","11370"
"267","40.762,-73.983","10019","10019"
"268","40.712,-73.944","11211","11211"
"269","40.769,-73.982","10023","10023"
"270","40.745,-73.995","10001","10001"
"271","40.758,-73.966","10022","10022"
"272","40.743,-73.989","10010","10010"
"273","40.71,-73.965","11249","11211"
"274","40.85,-73.938","10033","10033"
"275","40.677,-73.966","11238","11238"
"276","40.763,-73.978","10019","10019"
"277","40.733,-73.976","10009","10009"
"278","40.688,-73.973","11217","11217"
"279","40.722,-73.991","10002","10002"
"280","40.725,-73.996","10012","10012"
"281","40.751,-73.995","10001","10001"
"282","40.685,-73.974","11217","11217"
"283","40.778,-73.961","10028","10028"
"284","40.826,-73.916","10451","10451"
"285","40.751,-73.971","10017","10017"
"286","40.713,-74.01","10013","10013"
"287","40.783,-73.971","10024","10024"
"288","40.678,-73.956","11238","11238"
"289","40.723,-73.952","11249","11211"
"290","40.715,-73.96","11211","11211"
"291","40.749,-73.992","10001","10001"
"292","40.753,-73.975","10170","10170"
"293","40.779,-73.978","10023","10023"
"294","40.845,-73.94","10032","10032"
"295","40.747,-73.95","11101","11101"
"296","40.692,-73.937","11221","11221"
"297","40.781,-73.956","10128","10128"
"298","40.702,-73.983","11201","11201"
"299","40.713,-73.939","11211","11211"
"300","40.767,-73.994","10019","10019"
"301","40.777,-73.983","10040","10040"
"302","40.781,-73.952","10128","10128"
"303","40.732,-73.982","10009","10009"
"304","40.76,-73.995","10036","10036"
"305","40.744,-73.971","10017","10017"
"306","40.673,-73.971","11217","11217"
"307","40.674,-73.963","11238","11238"
"308","40.644,-73.984","11218","11218"
"309","40.746,-74.005","10011","10011"
"310","40.832,-73.95","10031","10031"
"311","40.711,-73.987","10002","10002"
"312","40.719,-74.009","10014","10014"
"313","40.716,-74.009","10012","10012"
"314","40.839,-73.937","10032","10032"
"315","40.728,-74","10012","10012"
"316","40.722,-73.95","11222","11222"
"317","40.729,-74.009","10013","10013"
"318","40.709,-74.013","10006","10006"
"319","40.742,-74.008","10011","10011"
"320","40.833,-73.885","10460","10460"
"321","40.719,-73.945","11222","11222"
"322","40.713,-74.009","10007","10007"
"323","40.695,-73.928","11221","11221"
"324","40.843,-73.905","10457","10457"
"325","40.644,-73.977","11218","11218"
"326","40.755,-73.98","10036","10036"
"327","40.743,-73.985","10016","10016"
"328","40.761,-73.961","10155","10022"
"329","40.689,-73.942","11221","11221"
"330","40.673,-73.954","11216","11216"
"331","40.676,-73.956","11216","11216"
"332","40.774,-73.915","11102","11102"
"333","40.834,-73.918","10456","10456"
"334","40.844,-73.934","10033","10033"
"335","40.863,-73.927","10040","10040"
"336","40.857,-73.927","10040","10040"
"337","40.732,-74.009","10014","10014"
"338","40.703,-73.941","11206","11206"
"339","40.719,-73.982","10002","10002"
"340","40.697,-73.936","11206","11206"
"341","40.769,-73.935","11369","11369"
"342","40.685,-73.999","11231","11231"
"343","40.868,-73.92","10034","10034"
"344","40.759,-73.994","10036","10036"
"345","40.674,-74.002","11231","11231"
"346","40.655,-74.003","11232","11232"
"347","40.76,-73.936","11106","11106"
"348","40.675,-74.01","11231","11231"
"349","40.673,-74.009","11231","11231"
"350","40.763,-73.934","11106","11106"
"351","40.752,-73.994","10001","10001"
"352","40.743,-74","10011","10011"
"353","40.672,-73.963","11238","11238"
"354","40.698,-73.985","11201","11201"
"355","40.764,-73.965","10021","10021"
"356","40.818,-73.957","10027","10027"
"357","40.797,-73.935","10035","10035"
"358","40.857,-73.936","10040","10040"
"359","40.833,-73.929","10452","10452"
"360","40.831,-73.947","10031","10031"
"361","40.699,-73.915","11237","11237"
"362","40.681,-74.009","11231","11231"
"363","40.761,-73.941","11106","11106"
"364","40.699,-73.913","11237","11237"
"365","40.755,-73.912","11377","11377"
"366","40.717,-73.959","11249","11211"
"367","40.8,-73.911","10454","10454"
"368","40.836,-73.914","10456","10456"
"369","40.748,-73.946","11101","11101"
"370","40.744,-73.956","11101","11101"
"371","40.77,-73.918","11102","11102"
"372","40.7,-73.971","11251","11211"
"373","40.821,-73.948","10031","10031"
"374","40.775,-73.954","10028","10028"
"375","40.726,-73.956","11222","11222"
"376","40.71,-73.908","11385","11385"
"377","40.717,-73.98","10002","10002"
"378","40.679,-74.008","11231","11231"
"379","40.68,-73.948","11216","11216"
"380","40.837,-73.89","10460","10460"
"381","40.836,-73.918","10452","10452"
"382","40.804,-73.951","10026","10026"
"383","40.765,-73.918","11103","11103"
"384","40.852,-73.942","10033","10033"
"385","40.764,-73.916","11101","11101"
"386","40.772,-73.99","10023","10023"
"387","40.715,-74.013","10282","10282"
"388","40.861,-73.926","10040","10040"
"389","40.706,-73.934","11206","11206"
"390","40.752,-73.94","11101","11101"
"391","40.733,-73.996","10011","10011"
"392","40.643,-74.017","11220","11220"
"393","40.773,-73.911","11105","11105"
"394","40.767,-73.937","11106","11106"
"395","40.77,-73.912","11105","11105"
"396","40.827,-73.95","10031","10031"
"397","40.703,-73.994","11201","11201"
"398","40.712,-73.919","11385","11385"
"399","40.834,-73.94","10032","10032"
"400","40.767,-73.991","10019","10019"
"401","40.687,-73.913","11207","11207"
"402","40.711,-73.997","10038","10038"
"403","40.775,-73.924","11106","11106"
"404","40.71,-73.911","11385","11385"
"405","40.669,-73.962","11225","11225"
"406","40.682,-73.954","11216","11216"
"407","40.721,-73.955","11211","11211"
"408","40.767,-73.917","11103","11103"
"409","40.839,-73.941","10032","10032"
"410","40.717,-73.945","11211","11211"
"411","40.727,-73.977","10009","10009"
"412","40.709,-73.922","11237","11237"
"413","40.766,-73.927","11102","11102"
"414","40.659,-73.98","11215","11215"
"415","40.747,-73.955","11101","11101"
"416","40.803,-73.938","10035","10035"
"417","40.653,-74.002","11232","11232"
"418","40.7,-73.947","11206","11206"
"419","40.753,-73.943","11101","11101"
"420","40.736,-73.959","11222","11222"
"421","40.722,-73.984","10009","10009"
"422","40.706,-73.902","11385","11385"
"423","40.754,-73.959","11109","11109"
"424","40.813,-73.949","10027","10027"
"425","40.788,-73.947","10029","10029"
"426","40.757,-73.905","11377","11377"
"427","40.745,-73.935","11101","11101"
"428","40.673,-73.984","11215","11215"
"429","40.731,-74.009","10014","10014"
"430","40.751,-74.005","10001","10001"
"431","40.771,-73.925","11102","11102"
"432","40.716,-73.952","11211","11211"
"433","40.792,-73.968","10025","10025"
"434","40.711,-74.015","10281","10282"
"435","40.722,-73.989","10002","10002"
"436","40.695,-73.996","11201","11201"
"437","40.763,-73.921","11106","11106"
"438","40.643,-74.012","11220","11220"
"439","40.737,-73.992","10003","10003"
"440","40.722,-73.939","11222","11222"
"441","40.726,-73.986","10009","10009"
"442","40.709,-73.964","11211","11211"
"443","40.693,-73.972","11205","11205"
"444","40.723,-73.98","10009","10009"
"445","40.719,-73.996","10013","10013"
"446","40.724,-74.01","10013","10013"
"447","40.67,-73.982","11215","11215"
"448","40.691,-73.945","11221","11221"
"449","40.75,-73.971","10017","10017"
"450","40.752,-73.98","10017","10017"
"451","40.755,-73.968","10022","10022"
"452","40.741,-73.975","10016","10016"
"453","40.788,-73.954","10029","10029"
"454","40.701,-73.914","11237","11237"
"455","40.714,-73.952","11211","11211"
"456","40.698,-73.931","11221","11221"
"457","40.811,-73.952","10027","10027"
"458","40.679,-73.959","11238","11238"
"459","40.814,-73.936","10037","10037"
"460","40.704,-74.012","10004","10004"
"461","40.709,-74.009","10038","10038"
"462","40.753,-74.002","10199","10199"
"463","40.714,-73.997","10002","10002"
"464","40.717,-74.01","10013","10013"
"465","40.693,-73.954","11205","11205"
"466","40.752,-73.915","11101","11101"
"467","40.695,-73.993","11201","11201"
"468","40.771,-73.934","11102","11102"
"469","40.698,-73.993","11201","11201"
"470","40.795,-73.933","10029","10029"
"471","40.685,-73.983","11217","11217"
"472","40.774,-73.908","11105","11105"
"473","40.697,-73.916","11221","11221"
"474","40.839,-73.886","10460","10460"
"475","40.77,-73.961","10021","10021"
"476","40.763,-73.929","11106","11106"
"477","40.699,-73.941","11206","11206"
"478","40.763,-73.997","10036","10036"
"479","40.676,-73.999","11231","11231"
"480","40.771,-73.958","10021","10021"
"481","40.785,-73.951","10128","10128"
"482","40.828,-73.887","10459","10459"
"483","40.802,-73.91","10454","10454"
"484","40.682,-73.959","11238","11238"
"485","40.78,-73.977","10023","10023"
"486","40.833,-73.946","10032","10032"
"487","40.776,-73.951","10028","10028"
"488","40.695,-73.95","11206","11206"
"489","40.782,-73.949","10128","10128"
"490","40.822,-73.889","10459","10459"
"491","40.685,-73.991","11201","11201"
"492","40.712,-73.941","11211","11211"
"493","40.771,-73.954","10021","10021"
"494","40.732,-73.985","10035","10035"
"495","40.751,-73.938","11101","11101"
"496","40.82,-73.959","10027","10027"
"497","40.775,-73.944","10162","10162"
"498","40.692,-73.986","11201","11201"
"499","40.833,-73.897","10456","10456"
"500","40.804,-73.912","10454","10454"
"501","40.778,-73.946","10128","10128"
"502","40.771,-73.99","10019","10019"
"503","40.818,-73.96","10027","10027"
"504","40.761,-73.98","10019","10019"
"505","40.663,-73.957","11225","11225"
"506","40.768,-73.989","10019","10019"
"507","40.681,-73.971","11238","11238"
"508","40.785,-73.97","10024","10024"
"509","40.763,-73.993","10019","10019"
"510","40.675,-73.975","11217","11217"
"511","40.784,-73.982","10024","10024"
"512","40.676,-73.953","11216","11216"
"513","40.72,-74.01","10013","10013"
"514","40.75,-73.983","10035","10035"
"515","40.671,-73.975","11215","11215"
"516","40.753,-73.973","10017","10017"
"517","40.784,-73.947","10128","10128"
"518","40.754,-73.92","11101","11101"
"519","40.64,-74.026","11220","11220"
"520","40.732,-73.96","11222","11222"
"521","40.818,-73.93","10451","10451"
"522","40.813,-73.942","10030","10030"
"523","40.743,-73.987","10010","10010"
"524","40.718,-73.955","11211","11211"
"525","40.723,-73.943","11222","11222"
"526","40.82,-73.929","10451","10451"
"527","40.808,-73.945","10027","10027"
"528","40.739,-74.005","10014","10014"
"529","40.712,-73.951","11211","11211"
"530","40.656,-74.007","11232","11232"
"531","40.82,-73.937","10030","10030"
"532","40.715,-74.017","10282","10282"
"533","40.757,-73.954","10155","10022"
"534","40.814,-73.945","10027","10027"
"535","40.725,-73.988","10003","10003"
"536","40.727,-73.953","11222","11222"
"537","40.7,-73.928","11221","11221"
"538","40.752,-73.978","10016","10016"
"539","40.823,-73.925","10451","10451"
"540","40.765,-73.924","11102","11102"
"541","40.761,-73.917","11103","11103"
"542","40.715,-73.939","11211","11211"
"543","40.666,-73.982","11215","11215"
"544","40.689,-73.905","11207","11207"
"545","40.666,-73.992","11215","11215"
"546","40.683,-73.938","11216","11216"
"547","40.727,-73.994","10012","10012"
"548","40.688,-74.002","11231","11231"
"549","40.743,-74.007","10011","10011"
"550","40.714,-73.933","11211","11211"
"551","40.66,-73.999","11232","11232"
"552","40.773,-73.916","11102","11102"
"553","40.646,-73.981","11218","11218"
"554","40.755,-73.997","10199","10199"
"555","40.807,-73.908","10454","10454"
"556","40.741,-73.937","11101","11101"
"557","40.66,-73.991","11215","11215"
"558","40.821,-73.936","10039","10039"
"559","40.732,-73.961","11222","11222"
"560","40.657,-73.984","11215","11215"
"561","40.776,-73.915","11105","11105"
"562","40.753,-73.928","11101","11101"
"563","40.704,-73.907","11385","11385"
"564","40.754,-73.938","11101","11101"
"565","40.757,-73.93","11106","11106"
"566","40.829,-73.911","10451","10451"
"567","40.827,-73.929","10451","10451"
"568","40.811,-73.915","10454","10454"
"569","40.822,-73.897","10459","10459"
"570","40.679,-73.904","11207","11207"
"571","40.86,-73.928","10040","10040"
"572","40.76,-73.922","11106","11106"
"573","40.755,-73.917","11103","11103"
"574","40.812,-73.917","10454","10454"
"575","40.76,-73.932","11106","11106"
"576","40.816,-73.912","10455","10455"
"577","40.827,-73.923","10451","10451"
"578","40.818,-73.955","10027","10027"
"579","40.763,-73.909","11103","11103"
"580","40.786,-73.915","11105","11105"
"581","40.827,-73.907","10456","10456"
"582","40.67,-73.978","11215","11215"
"583","40.735,-73.988","10003","10003"
"584","40.758,-73.917","11103","11103"
"585","40.83,-73.931","10452","10452"
"586","40.77,-73.929","11102","11102"
"587","40.66,-73.995","11232","11232"
"588","40.869,-73.915","10034","10034"
"589","40.834,-73.909","10456","10456"
"590","40.698,-73.97","11205","11205"
"591","40.821,-73.945","10030","10030"
"592","40.73,-73.984","10003","10003"
"593","40.774,-73.962","10021","10021"
"594","40.729,-73.958","11222","11222"
"595","40.757,-73.972","10037","10037"
"596","40.713,-73.985","10002","10002"
"597","40.732,-73.989","10003","10003"
"598","40.686,-73.945","11216","11216"
"599","40.808,-73.939","10035","10035"
"600","40.735,-73.994","10003","10003"
"601","40.76,-73.914","11103","11103"
"602","40.695,-73.958","11205","11205"
"603","40.741,-73.983","10010","10010"
"604","40.747,-73.943","11101","11101"
"605","40.715,-74.011","10014","10014"
"606","40.759,-73.919","11103","11103"
"607","40.762,-73.926","11106","11106"
"608","40.69,-73.915","11221","11221"
"609","40.665,-73.976","11215","11215"
"610","40.768,-73.932","11106","11106"
"611","40.838,-73.91","10456","10456"
"612","40.831,-73.941","10032","10032"
"613","40.828,-73.943","10031","10031"
"614","40.719,-73.939","11222","11222"
"615","40.708,-74.003","10038","10038"
"616","40.679,-73.905","11233","11233"
"617","40.731,-73.974","10010","10010"
"618","40.793,-73.943","10029","10029"
"619","40.81,-73.94","10037","10037"
"620","40.872,-73.913","10034","10034"
"621","40.82,-73.897","10459","10459"
"622","40.647,-74.004","11220","11220"
"623","40.848,-73.936","10033","10033"
"624","40.775,-73.934","11102","11102"
"625","40.832,-73.89","10459","10459"
"626","40.721,-73.948","11222","11222"
"627","40.828,-73.904","10456","10456"
"628","40.833,-73.905","10456","10456"
"629","40.81,-73.937","10037","10037"
"630","40.821,-73.895","10459","10459"
"631","40.807,-73.927","10454","10454"
"632","40.669,-73.99","11215","11215"
"633","40.813,-73.909","10455","10455"
"634","40.702,-73.906","11385","11385"
"635","40.813,-73.931","10037","10037"
"636","40.664,-73.984","11215","11215"
"637","40.839,-73.889","10457","10457"
"638","40.831,-73.926","10452","10452"
"639","40.814,-73.904","10455","10455"
"640","40.868,-73.917","10034","10034"
"641","40.805,-73.955","10026","10026"
"642","40.734,-74.003","10014","10014"
"643","40.713,-73.988","10002","10002"
"644","40.818,-73.951","10031","10031"
"645","40.811,-73.963","10027","10027"
"646","40.83,-73.908","10456","10456"
"647","40.755,-73.949","10044","10044"
"648","40.71,-74.004","10038","10038"
"649","40.812,-73.946","10027","10027"
"650","40.705,-73.944","11206","11206"
"651","40.817,-73.917","10455","10455"
"652","40.836,-73.893","10460","10460"
"653","40.715,-74.009","10007","10007"
"654","40.677,-73.96","11238","11238"
"655","40.71,-73.947","11206","11206"
"656","40.777,-73.959","10028","10028"
"657","40.751,-73.988","10018","10018"
"658","40.748,-73.941","11101","11101"
"659","40.743,-73.982","10016","10016"
"660","40.769,-73.925","11102","11102"
"661","40.746,-73.982","10016","10016"
"662","40.796,-73.948","10029","10029"
"663","40.766,-73.976","10106","10019"
"664","40.701,-73.939","11206","11206"
"665","40.764,-73.989","10019","10019"
"666","40.767,-73.962","10021","10021"
"667","40.808,-73.929","10454","10454"
"668","40.76,-73.991","10036","10036"
"669","40.713,-73.957","11211","11211"
"670","40.672,-73.961","11238","11238"
"671","40.652,-73.965","11226","11226"
"672","40.696,-73.968","11205","11205"
"673","40.663,-73.954","11225","11225"
"674","40.754,-73.996","10001","10001"
"675","40.815,-73.936","10037","10037"
"676","40.657,-73.998","11232","11232"
"677","40.757,-73.998","10003","10003"
"678","40.83,-73.905","10456","10456"
"679","40.859,-73.923","10034","10034"
"680","40.783,-73.979","10024","10024"
"681","40.832,-73.92","10452","10452"
"682","40.844,-73.921","10452","10452"
"683","40.834,-73.928","10452","10452"
"684","40.736,-73.953","11222","11222"
"685","40.752,-73.933","11101","11101"
"686","40.815,-73.9","10455","10455"
"687","40.853,-73.934","10033","10033"
"688","40.683,-73.912","11233","11233"
"689","40.722,-73.959","11249","11211"
"690","40.842,-73.926","10452","10452"
"691","40.836,-73.943","10032","10032"
"692","40.735,-73.998","10011","10011"
"693","40.803,-73.953","10026","10026"
"694","40.757,-73.926","11106","11106"
"695","40.847,-73.931","10040","10040"
"696","40.786,-73.946","10029","10029"
"697","40.823,-73.937","10039","10039"
"698","40.845,-73.912","10468","10468"
"699","40.735,-74","10011","10011"
"700","40.803,-73.963","10025","10025"
"701","40.747,-73.971","10017","10017"
"702","40.685,-73.941","11221","11221"
"703","40.709,-73.926","11237","11237"
"704","40.829,-73.95","10031","10031"
"705","40.685,-73.954","11216","11216"
"706","40.734,-73.952","11222","11222"
"707","40.792,-73.974","10025","10025"
"708","40.669,-73.987","11215","11215"
"709","40.715,-73.984","10002","10002"
"710","40.704,-73.904","11385","11385"
"711","40.745,-73.953","11101","11101"
"712","40.656,-73.977","11218","11218"
"713","40.839,-73.922","10452","10452"
"714","40.756,-73.937","11101","11101"
"715","40.841,-73.919","10452","10452"
"716","40.842,-73.898","10457","10457"
"717","40.816,-73.948","10030","10030"
"718","40.697,-73.907","11237","11237"
"719","40.863,-73.92","10034","10034"
"720","40.685,-73.909","11207","11207"
"721","40.756,-73.913","11103","11103"
"722","40.821,-73.888","10474","10474"
"723","40.697,-73.923","11221","11221"
"724","40.751,-73.946","11101","11101"
"725","40.682,-73.944","11216","11216"
"726","40.809,-73.916","10454","10454"
"727","40.648,-74","11232","11232"
"728","40.836,-73.94","10032","10032"
"729","40.801,-73.935","10035","10035"
"730","40.758,-73.902","11377","11377"
"731","40.824,-73.909","10451","10451"
"732","40.765,-73.94","11106","11106"
"733","40.654,-74.001","11232","11232"
"734","40.692,-73.926","11221","11221"
"735","40.689,-73.91","11207","11207"
"736","40.706,-73.919","11237","11237"
