"","loc","zip","zcta"
"1","40.755,-73.975","10037","10037"
"2","40.703,-73.921","11237","11237"
"3","40.796,-73.942","10029","10029"
"4","40.696,-73.991","11201","11201"
"5","40.773,-73.897","11105","11105"
"6","40.697,-73.928","11221","11221"
"7","40.835,-73.904","10456","10456"
"8","40.758,-73.91","11377","11377"
"9","40.855,-73.938","10033","10033"
"10","40.655,-74.014","11232","11232"
"11","40.646,-74.009","11220","11220"
"12","40.711,-74.009","10279","10279"
"13","40.707,-74.009","10005","10005"
"14","40.753,-73.987","10018","10018"
"15","40.808,-73.964","10115","10115"
"16","40.776,-73.976","10023","10023"
"17","40.661,-73.979","11215","11215"
"18","40.679,-73.99","11231","11231"
"19","40.84,-73.939","10031","10031"
"20","40.801,-73.914","10454","10454"
"21","40.704,-73.948","11206","11206"
"22","40.83,-73.929","10452","10452"
"23","40.651,-73.978","11218","11218"
"24","40.733,-73.99","10003","10003"
"25","40.706,-73.946","11206","11206"
"26","40.755,-73.985","10036","10036"
"27","40.739,-73.98","10010","10010"
"28","40.716,-73.994","10002","10002"
"29","40.678,-73.962","11238","11238"
"30","40.778,-73.908","11105","11105"
"31","40.687,-73.966","11238","11238"
"32","40.786,-73.957","10128","10128"
"33","40.757,-73.933","11106","11106"
"34","40.715,-74.006","10007","10007"
"35","40.748,-73.985","10018","10018"
"36","40.745,-73.947","11101","11101"
"37","40.806,-73.925","10454","10454"
"38","40.82,-73.952","10031","10031"
"39","40.826,-73.938","10039","10039"
"40","40.803,-73.949","10037","10037"
"41","40.743,-73.96","11109","11109"
"42","40.701,-73.93","11206","11206"
"43","40.787,-73.977","10024","10024"
"44","40.801,-73.95","10026","10026"
"45","40.633,-74.017","11220","11220"
"46","40.795,-73.944","10029","10029"
"47","40.694,-73.946","11206","11206"
"48","40.825,-73.947","10031","10031"
"49","40.696,-73.99","11201","11201"
"50","40.73,-73.981","10009","10009"
"51","40.683,-74","11231","11231"
"52","40.767,-73.953","10021","10021"
"53","40.723,-73.986","10009","10009"
"54","40.736,-73.982","10035","10035"
"55","40.749,-73.977","10016","10016"
"56","40.706,-73.939","11206","11206"
"57","40.68,-73.965","11238","11238"
"58","40.69,-73.975","11221","11221"
"59","40.825,-73.936","10039","10039"
"60","40.743,-74.004","10019","10019"
"61","40.725,-74.002","10012","10012"
"62","40.801,-73.971","10025","10025"
"63","40.777,-73.979","10023","10023"
"64","40.759,-73.963","10022","10022"
"65","40.737,-73.978","10010","10010"
"66","40.653,-74.009","11232","11232"
"67","40.787,-73.981","10024","10024"
"68","40.802,-73.957","10026","10026"
"69","40.714,-73.99","10002","10002"
"70","40.708,-73.911","11385","11385"
"71","40.708,-73.968","11249","11211"
"72","40.693,-73.916","11221","11221"
"73","40.707,-74.007","10038","10038"
"74","40.732,-73.999","10014","10014"
"75","40.721,-73.986","10002","10002"
"76","40.698,-73.981","11201","11201"
"77","40.812,-73.92","10454","10454"
"78","40.748,-73.979","10016","10016"
"79","40.675,-73.981","11215","11215"
"80","40.726,-73.984","10009","10009"
"81","40.795,-73.964","10025","10025"
"82","40.695,-73.984","11201","11201"
"83","40.68,-73.956","11238","11238"
"84","40.754,-73.909","11377","11377"
"85","40.73,-73.991","10003","10003"
"86","40.798,-73.961","10025","10025"
"87","40.709,-73.961","11211","11211"
"88","40.796,-73.962","10025","10025"
"89","40.729,-73.978","10009","10009"
"90","40.735,-73.992","10003","10003"
"91","40.646,-74.006","11220","11220"
"92","40.677,-73.983","11215","11215"
"93","40.693,-73.94","11206","11206"
"94","40.739,-73.999","10011","10011"
"95","40.669,-73.98","11215","11215"
"96","40.687,-73.98","11217","11217"
"97","40.751,-73.941","11101","11101"
"98","40.685,-73.978","11208","11208"
"99","40.725,-73.991","10003","10003"
"100","40.727,-73.981","10009","10009"
